PIT_ID,first,last,kOneOB,oneOB,kTwoOB,twoOB,kThreeOB,threeOB,kScore
aardd001,David,Aardsma,17,118,12,45,3,12,7.47327597
abadf001,Fernando,Abad,33,165,14,80,4,15,7.05316954
abrej002,Juan,Abreu,2,8,2,8,2,2,19.30956284
accaj001,Jeremy,Accardo,16,119,8,60,2,11,4.94891349
aceva001,Alfredo,Aceves,49,327,24,139,3,30,4.21022274
acosm001,Manny,Acosta,37,173,16,76,4,21,6.35094079
adamm001,Mike,Adams,38,244,26,99,5,19,7.69515004
adcon001,Nathan,Adcock,26,140,6,54,1,10,3.74824904
affej001,Jeremy,Affeldt,50,267,22,127,6,36,5.43981829
albem001,Matt,Albers,59,319,21,178,10,62,4.75160423
albua001,Al,Alburquerque,46,143,30,88,9,33,9.60317776
allec002,Cody,Allen,40,137,16,66,6,20,8.79591989
alvah001,Henderson,Alvarez,50,410,14,156,1,31,2.13256795
ambrh001,Hector,Ambriz,24,142,14,84,8,31,6.66054790
andeb004,Brett,Anderson,61,362,27,134,3,24,5.00441667
archc001,Chris,Archer,39,181,13,57,4,9,10.41774898
arrej001,Jose,Arredondo,26,146,14,62,2,8,7.22325467
arrij001,Jake,Arrieta,83,523,43,218,6,46,4.98716627
arrob001,Bronson,Arroyo,129,948,36,302,4,43,3.45327560
atchs001,Scott,Atchison,43,238,11,110,4,21,4.97941716
atill001,Luis,Atilano,10,125,5,47,2,11,4.35708297
atkim001,Mitch,Atkins,8,36,4,14,1,5,7.35001123
aumop001,Phillippe,Aumont,11,53,7,23,1,5,7.46867388
avill001,Luis,Avilan,21,111,8,63,1,15,3.43016557
axeld001,Dylan,Axelrod,36,273,19,108,3,21,4.79843303
axfoj001,John,Axford,112,370,38,135,10,35,9.05736822
ayall001,Luis,Ayala,34,248,23,106,7,32,6.42476035
badeb001,Burke,Badenhop,51,313,21,156,6,40,4.63606226
baila001,Andrew,Bailey,58,176,10,47,1,12,5.38482020
bailh001,Homer,Bailey,153,755,61,293,13,35,9.02055775
bakes002,Scott,Baker,60,378,30,132,4,12,8.40123259
balec001,Collin,Balester,19,104,11,43,3,14,7.02701835
balfg001,Grant,Balfour,62,300,28,123,7,21,8.67136803
bardd001,Daniel,Bard,52,267,25,102,11,40,7.90395622
bassa001,Anthony,Bass,33,239,15,91,2,16,4.44169655
basta001,Antonio,Bastardo,53,204,30,94,10,27,10.51359904
batim001,Miguel,Batista,32,254,14,124,7,37,4.79474991
bauet001,Trevor,Bauer,5,47,4,22,1,7,4.72021699
bautd002,Denny,Bautista,11,45,8,27,1,8,6.44435028
beacb001,Brandon,Beachy,67,309,30,103,2,10,7.37965285
beatp001,Pedro,Beato,14,105,8,50,2,14,4.63550595
beavb001,Blake,Beavan,38,364,15,115,3,7,8.51045468
beckj002,Josh,Beckett,107,598,52,248,12,48,7.05471663
bedae001,Erik,Bedard,107,521,36,205,10,43,6.56987655
beimj001,Joe,Beimel,11,99,6,44,2,10,5.12887401
belim001,Matt,Belisle,79,391,33,199,8,31,6.83496092
belir001,Ronald,Belisario,46,246,22,133,5,27,5.63650778
bellh001,Heath,Bell,89,363,41,153,5,27,7.06120512
belod001,Duane,Below,12,93,5,54,1,8,3.61551777
