playerID,retroID,kscore,totalER,totalinnings,totalERA
aardsda01,aardd001,7.4732759700,39,89,3.9438
abadfe01,abadf001,7.0531695400,62,120,4.6500
abreuju01,abrej002,19.3095628400,2,6,3.0000
accarje01,accaj001,4.9489134900,50,80,5.6250
aceveal01,aceva001,4.2102227400,107,245,3.9306
acostma01,acosm001,6.3509407900,65,132,4.4318
adamsmi03,adamm001,7.6951500400,55,214,2.3131
adcocna01,adcon001,3.7482490400,40,94,3.8298
affelje01,affej001,5.4398182900,74,207,3.2174
alberma01,albem001,4.7516042300,110,262,3.7786
albural01,albua001,9.6031777600,35,105,3.0000
allenco01,allec002,8.7959198900,31,99,2.8182
alvarhe01,alvah001,2.1325679500,167,352,4.2699
ambrihe01,ambrh001,6.6605479000,62,103,5.4175
anderbr04,andeb004,5.0044166700,112,274,3.6788
archech01,archc001,10.4177489800,61,157,3.4968
arredjo01,arrej001,7.2232546700,39,113,3.1062
arrieja01,arrij001,4.9871662700,238,407,5.2629
arroybr01,arrob001,3.4532756000,374,816,4.1250
atchisc01,atchs001,4.9794171600,72,186,3.4839
atilalu01,atill001,4.3570829700,49,85,5.1882
atkinmi01,atkim001,7.3500112300,17,19,8.0526
aumonph01,aumop001,7.4686738800,15,33,4.0909
avilalu01,avill001,3.4301655700,19,101,1.6931
axelrdy01,axeld001,4.7984330300,118,197,5.3909
axforjo01,axfoj001,9.0573682200,97,264,3.3068
ayalalu01,ayall001,6.4247603500,47,162,2.6111
badenbu01,badeb001,4.6360622600,104,254,3.6850
bailean01,baila001,5.3848202000,47,132,3.2045
baileho02,bailh001,9.0205577500,285,655,3.9160
bakersc02,bakes002,8.4012325900,138,319,3.8934
balesco01,balec001,7.0270183500,37,74,4.5000
balfogr01,balfg001,8.6713680300,70,252,2.5000
bardda01,bardd001,7.9039562200,85,206,3.7136
bassan01,bassa001,4.4416965500,85,186,4.1129
bastaan01,basta001,10.5135990400,62,168,3.3214
batismi01,batim001,4.7947499100,85,193,3.9637
bauertr01,bauet001,4.7202169900,21,33,5.7273
bautide01,bautd002,6.4443502800,14,33,3.8182
beachbr01,beacb001,7.3796528500,96,267,3.2360
beatope01,beatp001,4.6355059500,45,87,4.6552
beavabl01,beavb001,8.5104546800,148,287,4.6411
beckejo02,beckj002,7.0547166300,257,533,4.3396
bedarer01,bedae001,6.5698765500,199,403,4.4442
beimejo01,beimj001,5.1288740100,32,69,4.1739
belisma01,belim001,6.8349609200,124,316,3.5316
belisro01,belir001,5.6365077800,81,193,3.7772
bellhe01,bellh001,7.0612051200,98,259,3.4054
belowdu01,belod001,3.6155177700,37,77,4.3247
benoijo01,benoj001,9.1168113000,73,258,2.5465
bergju01,bergj002,2.3979455900,28,51,4.9412
berkeja01,berkj001,5.9387322500,61,128,4.2891
betanra01,betar001,9.8097049600,76,209,3.2727
billich01,billc001,8.0160220400,227,540,3.7833
blackni01,blacn001,2.2079008400,252,407,5.5725
blantjo01,blanj001,6.4172004400,306,538,5.1190
blevije01,blevj001,6.1623221300,68,200,3.0600
boggsmi01,boggm001,6.3153048000,90,222,3.6486
bondeje01,bondj001,2.9544658100,138,224,5.5446
bowdemi01,bowdm001,4.8895674600,48,110,3.9273
boxbebr01,boxbb001,8.6207115500,15,49,2.7551
brachbr01,bracb001,8.3767529000,43,104,3.7212
braddza01,bradz001,8.1046471000,25,50,4.5000
bradeda01,bradd002,7.2690087000,81,210,3.4714
braybi01,brayb001,5.3315623600,34,84,3.6429
breslcr01,bresc001,6.3303102000,81,254,2.8701
brittza01,britz001,4.3400916100,135,254,4.7835
brothre01,brotr001,10.3745662200,55,174,2.8448
broxtjo01,broxj001,5.3318375500,66,161,3.6894
buchhcl01,buchc001,5.0497696900,194,552,3.1630
buchhta01,bucht001,12.5582485400,14,35,3.6000
bucknbi02,buckb002,4.2299251700,25,29,7.7586
buehrma01,buehm001,3.8202697400,360,820,3.9512
buentja01,buenj001,7.1507771700,13,15,7.8000
bulgeja01,bulgj001,10.2815666300,14,32,3.9375
bumgama01,bumgm001,5.9535125900,250,724,3.1077
burkegr01,burkg001,8.5416822800,20,31,5.8065
burneaj01,burna001,7.2944536400,367,768,4.3008
burneal01,burna002,4.6295907900,90,169,4.7929
burnese01,burns001,5.6518703800,55,184,2.6902
burnsco01,burnc001,8.3880688900,15,29,4.6552
burtoja01,burtj001,5.2566991700,45,130,3.1154
bushda01,bushd001,7.2189709900,117,214,4.9206
byrdati01,byrdt001,7.7602599900,50,109,4.1284
cabreal03,cabra003,10.6757203400,16,27,5.3333
cahiltr01,cahit001,5.6620001500,310,749,3.7250
cainma01,cainm001,6.2300780700,299,847,3.1771
campsh01,camps002,4.9118665800,104,238,3.9328
cappsca01,cappc001,8.6427969900,47,83,5.0964
cappsma01,cappm001,5.7507562200,63,166,3.4157
capuach01,capuc001,6.6318338000,255,554,4.1426
carlsje01,carlj001,6.2495031300,7,13,4.8462
carmofa01,carmf001,4.0319721800,292,562,4.6762
carpean01,carpa001,8.0501104500,21,26,7.2692
carpech01,carpc002,5.4142146900,182,487,3.3634
carpech02,carpc003,7.3157323000,9,15,5.4000
carpeda01,carpd001,6.2676711600,51,123,3.7317
carpeda02,carpd002,7.5409215700,25,39,5.7692
carraca01,carrc003,4.2112082300,118,214,4.9626
carradj01,carrd001,4.6156170700,68,129,4.7442
carsoro01,carsr001,4.1151583200,25,32,7.0313
cashnan01,casha001,6.3598891000,113,284,3.5810
castial02,casta002,17.2228304500,15,21,6.4286
cecilbr01,cecib001,5.8090974500,204,416,4.4135
cedajo01,cedaj001,6.3616055000,15,28,4.8214
cedenxa01,cedex001,4.9265001200,27,44,5.5227
chacigu01,chacg001,7.8468731900,20,38,4.7368
chacijh01,chacj001,6.2627410200,238,596,3.5940
chambjo03,chamj002,7.4046477100,77,160,4.3313
chapmar01,chapa001,9.8895932600,53,197,2.4213
chatwty01,chatt001,3.0825325300,153,317,4.3438
chaveje01,chavj001,6.8251146000,102,150,6.1200
chenbr01,chenb001,5.7303909500,282,607,4.1812
chenwe02,chenw001,5.2842889000,148,329,4.0486
choatra01,choar001,6.2336647700,48,141,3.0638
chulkvi01,chulv001,19.0137491400,10,9,10.0000
cingrto01,cingt001,10.3332925900,35,109,2.8899
cishest01,cishs001,8.3710923500,53,186,2.5645
clippty01,clipt001,8.6870140300,98,320,2.7563
cobbal01,cobba001,6.1853663100,125,331,3.3988
coellro01,coelr001,9.0698314500,19,27,6.3333
coffeto01,cofft001,5.7780668100,67,140,4.3071
cokeph01,cokep001,3.8040113700,128,264,4.3636
colemca01,colec001,2.9329498100,106,164,5.8171
colemlo01,colel001,13.4390372500,42,138,2.7391
colliti01,collt001,8.2122459400,74,188,3.5426
collmjo01,collj001,7.0557371600,127,336,3.4018
colomje01,coloj001,8.2115060600,10,17,5.2941
