playerID,retroID,kscore,totalgames,totalhits,totalwins,totalER,totalinnings,totalERA
adamsmi03,adamm001,7.6951500400,234,171,15,55,214,2.3131
affelje01,affej001,5.4398182900,226,187,9,74,207,3.2174
alberma01,albem001,4.7516042300,237,243,15,110,262,3.7786
atchisc01,atchs001,4.9794171600,152,176,8,72,186,3.4839
axforjo01,axfoj001,9.0573682200,274,235,22,97,264,3.3068
ayalalu01,ayall001,6.4247603500,157,170,9,47,162,2.6111
badenbu01,badeb001,4.6360622600,232,252,9,104,254,3.6850
balfogr01,balfg001,8.6713680300,259,176,11,70,252,2.5000
bardda01,bardd001,7.9039562200,162,152,8,85,206,3.7136
bastaan01,basta001,10.5135990400,202,120,13,62,168,3.3214
belisma01,belim001,6.8349609200,302,328,25,124,316,3.5316
belisro01,belir001,5.6365077800,204,171,16,81,193,3.7772
bellhe01,bellh001,7.0612051200,273,251,18,98,259,3.4054
benoijo01,benoj001,9.1168113000,268,183,14,73,258,2.5465
betanra01,betar001,9.8097049600,232,177,10,76,209,3.2727
blevije01,blevj001,6.1623221300,219,170,12,68,200,3.0600
boggsmi01,boggm001,6.3153048000,217,206,8,90,222,3.6486
breslcr01,bresc001,6.3303102000,266,223,12,81,254,2.8701
brothre01,brotr001,10.3745662200,195,147,11,55,174,2.8448
broxtjo01,broxj001,5.3318375500,172,162,12,66,161,3.6894
burneal01,burna002,4.6295907900,177,178,8,90,169,4.7929
burnese01,burns001,5.6518703800,225,173,7,55,184,2.6902
byrdati01,byrdt001,7.7602599900,200,97,6,50,109,4.1284
campsh01,camps002,4.9118665800,243,263,14,104,238,3.9328
cappsma01,cappm001,5.7507562200,173,169,10,63,166,3.4157
chambjo03,chamj002,7.4046477100,167,167,8,77,160,4.3313
chapmar01,chapa001,9.8895932600,205,105,15,53,197,2.4213
choatra01,choar001,6.2336647700,283,109,7,48,141,3.0638
cishest01,cishs001,8.3710923500,185,153,11,53,186,2.5645
clippty01,clipt001,8.6870140300,296,209,22,98,320,2.7563
coffeto01,cofft001,5.7780668100,161,137,8,67,140,4.3071
cokeph01,cokep001,3.8040113700,237,299,12,128,264,4.3636
colliti01,collt001,8.2122459400,206,156,12,74,188,3.5426
cookry01,cookr001,8.2360768800,154,115,12,42,147,2.5714
cordefr01,cordf002,4.7476908500,190,178,14,83,180,4.1500
crainje01,craij001,10.7496343600,227,163,13,58,216,2.4167
crowaa01,crowa001,7.8163937400,187,158,14,62,172,3.2442
doteloc01,doteo001,8.5079536500,196,148,13,80,176,4.0909
downssc01,downs001,7.3357643400,252,174,16,54,201,2.4179
duensbr01,duenb001,4.9491143600,213,509,29,221,460,4.3239
dunnmi01,dunnm002,7.2898733400,232,168,10,72,191,3.3927
durbich01,durbc001,7.8394577600,212,226,11,108,212,4.5849
farnsky01,farnk001,4.5413328700,205,165,12,70,184,3.4239
francfr01,franf001,7.4647311000,166,149,9,71,150,4.2600
frasoja01,frasj002,6.9501290900,244,197,11,84,214,3.5327
frierer01,friee001,11.1982535400,226,159,9,71,227,2.8150
garcija01,garcj002,8.4810966900,231,167,23,54,218,2.2294
gonzami02,gonzm001,8.7670875800,207,158,3,75,162,4.1667
gregelu01,gregl001,6.7385753000,291,210,15,84,270,2.8000
greggke01,gregk001,3.2965609600,228,213,7,100,222,4.0541
guerrma02,guerm001,3.0748868300,209,166,13,80,190,3.7895
hanrajo01,hanrj001,11.0056471800,214,164,10,68,203,3.0148
hawkila01,hawkl001,5.6240655800,190,187,8,68,175,3.4971
henslcl01,hensc002,5.8852799200,165,166,13,83,191,3.9110
hernada01,hernd002,7.8066514100,249,219,20,114,278,3.6906
hollagr01,hollg001,11.7248237600,196,158,14,57,210,2.4429
howeljp01,howej003,7.4040932300,168,111,7,52,142,3.2958
janseke01,jansk001,12.3901020900,216,123,12,52,220,2.1273
janssca01,jansc001,6.0853179300,229,204,16,75,238,2.8361
jepseke01,jepsk001,4.5833669900,178,155,7,70,150,4.2000
johnsji04,johnj010,4.1246952100,240,239,12,79,255,2.7882
kimbrcr01,kimbc001,14.7335417700,231,123,15,35,225,1.4000
leagubr01,leagb001,3.4546994200,267,257,18,106,264,3.6136
lecursa01,lecus001,8.1806156300,169,203,9,94,242,3.4959
lindsma01,lindm001,4.3144614300,243,229,7,79,213,3.3380
loeka01,loe-k001,3.9107587800,215,237,15,102,223,4.1166
loganbo02,logab001,8.6561088600,256,158,19,66,174,3.4138
lopezja02,lopej002,6.2715151700,286,159,16,49,184,2.3967
lopezwi01,lopew001,5.2369672900,280,287,16,94,277,3.0542
lyonbr01,lyonb003,5.7377855800,198,194,15,84,184,4.1087
marmoca01,marmc001,10.8323652000,265,174,9,100,254,3.5433
marshse01,marss002,9.0699898300,247,183,18,60,219,2.4658
masseni01,massn001,5.6890153600,157,140,7,58,146,3.5753
mcgeeja01,mcgej001,10.0603604200,185,117,15,55,150,3.3000
melanma01,melam001,5.0335969700,206,189,13,75,211,3.1991
mijarjo01,mijaj001,6.9661366900,243,204,4,76,185,3.6973
motteja01,mottj001,9.4672600600,201,139,13,52,192,2.4375
mujiced01,mujie001,7.0324831900,261,239,13,95,274,3.1204
nathajo01,nathj001,6.9134084700,181,129,11,54,172,2.8256
odayda01,odayd001,5.8807951800,225,156,18,56,206,2.4466
oflaher01,oflae001,9.4908958000,217,155,11,36,192,1.6875
ogandal01,ogana001,6.0385158900,156,316,26,132,380,3.1263
ohmanwi01,ohmaw001,8.7162407700,159,116,1,59,121,4.3884
oliveda02,olivd001,6.4126629000,237,190,12,64,216,2.6667
ondrulo01,ondrl001,4.7400209400,241,208,18,92,228,3.6316
papeljo01,papej001,13.0405023500,259,222,19,89,261,3.0690
parnebo01,parnb001,7.3727977000,224,204,14,66,210,2.8286
parrama01,parrm001,7.3139775000,161,237,7,118,224,4.7411
peraljo01,peraj002,8.8675097400,266,170,9,87,253,3.0949
perezch01,perec002,8.2487369200,242,191,11,83,233,3.2060
perkigl01,perkg001,7.1910863500,209,184,10,67,214,2.8178
pestavi01,pestv001,10.4035985700,179,135,5,54,172,2.8256
putzjj01,putzj001,9.2015305900,217,153,13,57,200,2.5650
quallch01,qualc001,4.4814760700,273,278,16,126,245,4.6286
ramirra02,ramir003,5.2624440200,199,173,7,80,204,3.5294
rauchjo01,raucj001,7.0886532300,200,185,12,85,181,4.2265
resopch01,resoc001,6.1723698500,178,191,7,87,181,4.3260
reynoma02,reynm002,6.3831542600,195,148,5,61,152,3.6118
riverma01,rivem002,7.1444548400,198,150,11,42,192,1.9688
roberda08,robed002,12.7831088600,269,202,15,67,253,2.3834
rodnefe01,rodnf001,8.1949057800,255,192,14,78,239,2.9372
rodrifr03,rodrf003,6.2072360700,252,219,15,84,245,3.0857
roenijo01,roenj001,3.7742235100,161,180,8,81,185,3.9405
rogeres01,rogee002,6.6133105500,157,439,16,228,367,5.5913
romose01,romos001,9.2300371700,267,165,17,51,224,2.0491
russeja02,russj003,5.5591474900,272,244,10,104,236,3.9661
rzepcma01,rzepm001,5.2395888800,193,195,7,91,200,4.0950
salasfe01,salaf001,7.0090369200,187,161,6,73,191,3.4398
santose01,sants001,9.2007656400,154,111,7,52,144,3.2500
shawbr01,shawb001,7.4887089500,167,150,9,58,161,3.2422
simonal01,simoa001,5.8745273200,171,315,17,136,311,3.9357
sippto01,sippt001,6.7250816500,258,175,12,97,216,4.0417
smithjo05,smitj002,6.1701456900,266,189,18,70,234,2.6923
soriajo01,sorij001,7.2032743800,152,131,7,50,148,3.0405
soriara01,sorir001,5.8662018900,243,189,10,70,234,2.6923
stammcr01,stamc001,6.9529122200,156,302,18,122,307,3.5765
storedr01,stord001,8.4971163700,232,192,17,84,221,3.4208
streehu01,streh001,8.5225769500,204,162,9,69,199,3.1206
stroppe01,strop001,7.1018354000,174,129,9,64,153,3.7647
takahhi01,takah001,6.8180146300,168,226,14,108,242,4.0165
thatcjo01,thatj001,8.1654663100,210,101,5,36,114,2.8421
thornma01,thorm001,4.7976023000,257,211,11,83,226,3.3053
ueharko01,uehak001,9.3129854000,218,128,7,47,219,1.9315
valvejo01,valvj001,4.7296268300,226,170,7,80,223,3.2287
ventejo01,ventj001,10.6237293800,230,175,15,57,229,2.2402
verasjo01,veraj001,8.1865609000,266,192,10,98,247,3.5709
villaca01,villc001,7.6371609200,168,381,22,191,411,4.1825
waldejo01,waldj001,7.3653816800,173,136,12,57,160,3.2063
watsoto01,watst001,7.9853342800,178,122,10,57,165,3.1091
webbry01,webbr001,4.4778350300,238,254,11,90,248,3.2661
wilheto01,wilht001,7.3363338400,157,129,6,61,169,3.2485
wrighja01,wrigj001,4.3086838000,238,249,10,103,261,3.5517
wrighwe01,wrigw001,6.2161256800,182,142,3,64,149,3.8658
zieglbr01,ziegb001,3.4627200800,285,222,20,73,257,2.5564
