PIT_ID,first,last,kOneOB,oneOB,kTwoOB,twoOB,kThreeOB,threeOB,kScore
arrij001,Jake,Arrieta,83,523,43,218,6,46,4.98716627
arrob001,Bronson,Arroyo,129,948,36,302,4,43,3.45327560
bailh001,Homer,Bailey,153,755,61,293,13,35,9.02055775
beckj002,Josh,Beckett,107,598,52,248,12,48,7.05471663
bedae001,Erik,Bedard,107,521,36,205,10,43,6.56987655
billc001,Chad,Billingsley,145,716,55,284,18,57,8.01602204
blacn001,Nick,Blackburn,42,572,17,202,1,17,2.20790084
blanj001,Joe,Blanton,145,729,35,250,7,28,6.41720044
buchc001,Clay,Buchholz,121,704,36,238,6,37,5.04976969
buehm001,Mark,Buehrle,129,1014,61,379,5,55,3.82026974
bumgm001,Madison,Bumgarner,201,889,65,307,7,44,5.95351259
burna001,A.J.,Burnett,245,1045,74,364,18,72,7.29445364
cahit001,Trevor,Cahill,134,927,50,332,10,47,5.66200015
cainm001,Matt,Cain,178,994,90,365,9,53,6.23007807
capuc001,Chris,Capuano,97,667,43,238,13,51,6.63183380
carmf001,Fausto,Carmona,72,700,33,276,6,42,4.03197218
carpc002,Chris,Carpenter,118,669,42,238,7,42,5.41421469
cecib001,Brett,Cecil,77,532,44,204,6,34,5.80909745
chacj001,Jhoulis,Chacin,133,714,45,304,16,67,6.26274102
chenb001,Bruce,Chen,102,715,39,275,13,58,5.73039095
colob001,Bartolo,Colon,76,567,30,218,5,37,4.28132545
corrk001,Kevin,Correia,113,825,40,304,4,37,3.82098042
cuetj001,Johnny,Cueto,113,716,42,248,11,60,5.48865763
dankj001,John,Danks,94,681,53,267,6,35,5.51046968
daviw001,Wade,Davis,117,731,48,288,12,56,5.94378044
dempr002,Ryan,Dempster,199,972,79,361,15,57,7.49684107
dickr001,R.A.,Dickey,185,1001,49,348,8,47,5.13197161
duenb001,Brian,Duensing,85,594,40,266,7,42,4.94911436
fistd001,Doug,Fister,142,952,49,369,11,57,5.19484639
floyg001,Gavin,Floyd,126,700,49,250,12,56,6.36959944
franj003,Jeff,Francis,104,673,29,225,4,32,4.14696759
gally001,Yovani,Gallardo,229,981,82,392,9,57,5.94872289
garcf002,Freddy,Garcia,94,629,37,213,7,28,6.50465272
garcj004,Jaime,Garcia,146,749,51,269,19,50,8.90848912
garzm001,Matt,Garza,158,801,63,300,7,44,5.77481766
gee-d001,Dillon,Gee,99,637,49,251,6,38,5.36552807
gonzg003,Gio,Gonzalez,225,966,88,387,16,83,6.67279797
